filename,duration,sr,n_channels,loudness_lufs,loudness_rms_db,rms,bpm,n_beats,meter,genre,genre_confidence,danceability,danceability_confidence,voice_instrumental,mood_happy,mood_sad,mood_aggressive,mood_relaxed,pitch_median_hz,key,scale,key_strength,fluctuation,spectral_irregularity,session,n_onsets,syncopation_score
08_elton_john_cold_heart_ps1_remix.mp3,165.2,44100,2,-8.03,-9.49,0.292267,120,331,4,Electronic---House,0.583,danceable,0.991,voice,0.351,0.134,0.045,0.411,261.1,Bb,minor,0.84,6709.2784,0.47,session_log_02-25_16h-30m,,
09_the_human_league_dont_you_want_me.mp3,240.28,44100,2,-11.92,-14.63,0.156506,115,463,4,Electronic---Italo-Disco,0.41,danceable,0.969,voice,0.842,0.075,0.034,0.178,224.3,C,major,0.868,8280.294,0.4193,session_log_02-25_16h-30m,,
10_nelly_furtado_turn_off_the_light.mp3,4.31,44100,2,-20.12,-22.63,0.056473,91,6,2,Electronic---House,0.084,danceable,0.503,instrumental,0.147,0.479,0.047,0.82,147.0,G,major,0.848,1991.2837,0.4996,session_log_02-25_16h-30m,,
11_inxs_need_you_tonight.mp3,2.14,44100,2,-14.18,-15.84,0.089185,111,4,4,Electronic---House,0.3,danceable,1.0,voice,0.323,0.044,0.036,0.08,59.7,C,minor,0.63,2498.642,0.2667,session_log_02-25_16h-30m,,
12_pet_shop_boys_always_on_my_mind_2003_remaster.mp3,4.49,44100,2,-15.74,-17.85,0.094507,125,9,4,Electronic---Synth-pop,0.276,danceable,0.957,voice,0.321,0.063,0.371,0.291,357.9,F,minor,0.401,2343.4455,0.3169,session_log_02-25_16h-30m,,
13_dua_lipa_levitating.mp3,117.0,44100,2,-6.58,-9.04,0.303854,103,201,4,Pop---K-pop,0.453,danceable,0.922,voice,0.658,0.143,0.009,0.436,277.6,B,minor,0.913,6969.5144,0.4025,session_log_02-25_16h-30m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_britney_spears_piece_of_me.mp3,8.6,44100,2,-9.53,-12.75,0.169987,115,17,4,Electronic---Electro,0.153,danceable,0.984,voice,0.301,0.062,0.749,0.147,115.5,Ab,minor,0.815,2715.5983,0.3501,session_log_02-26_08h-48m,,
02_britney_spears_lucky.mp3,204.52,44100,2,-9.86,-13.3,0.17666,94,321,4,Pop---Europop,0.372,danceable,0.971,voice,0.825,0.146,0.08,0.187,280.7,Ab,major,0.858,8138.1539,0.3986,session_log_02-26_08h-48m,,
03_britney_spears_baby_one_more_time.mp3,30.43,44100,2,-13.44,-16.13,0.123171,94,48,4,Hip Hop---RnB/Swing,0.309,danceable,0.987,voice,0.842,0.179,0.066,0.331,197.2,C,minor,0.911,5215.3686,0.3932,session_log_02-26_08h-48m,,
04_tracy_chapman_fast_car.mp3,229.7,44100,2,-20.28,-21.97,0.071401,103,397,4,"Folk, World, & Country---Folk",0.084,not_danceable,0.978,voice,0.202,0.116,0.001,0.765,220.6,A,major,0.913,9848.5494,0.4213,session_log_02-26_08h-48m,,
05_elton_john_your_song.mp3,238.19,44100,2,-12.8,-15.34,0.134428,130,490,4,"Folk, World, & Country---Folk",0.209,not_danceable,0.976,voice,0.094,0.049,0.001,0.958,193.4,Eb,major,0.899,8486.2337,0.4451,session_log_02-26_08h-48m,,
06_james_taylor_how_sweet_it_is_to_be_loved_by_you_2019_remaster.mp3,24.11,44100,2,-16.18,-18.38,0.105448,111,44,4,Rock---Soft Rock,0.137,not_danceable,0.998,voice,0.767,0.126,0.0,0.882,196.6,G,major,0.914,4082.8747,0.4126,session_log_02-26_08h-48m,,
07_dave_matthews_band_the_space_between.mp3,2.22,44100,2,-16.93,-19.66,0.068397,158,6,4,Rock---Alternative Rock,0.208,not_danceable,0.588,voice,0.144,0.374,0.796,0.35,104.4,E,major,0.756,2121.0021,0.3212,session_log_02-26_08h-48m,,
08_james_taylor_how_sweet_it_is_to_be_loved_by_you_2019_remaster.mp3,205.22,44100,2,-14.69,-17.33,0.120175,111,385,4,Rock---Soft Rock,0.155,not_danceable,0.996,voice,0.665,0.108,0.0,0.875,202.1,G,major,0.922,9682.399,0.415,session_log_02-26_08h-48m,,
09_hootie_the_blowfish_only_wanna_be_with_you.mp3,222.49,44100,2,-9.65,-12.22,0.219916,103,374,4,Rock---Indie Rock,0.291,not_danceable,0.778,voice,0.379,0.301,0.014,0.546,208.3,F#,major,0.906,6606.5743,0.3923,session_log_02-26_08h-48m,,
10_dave_matthews_band_ants_marching.mp3,4.36,44100,2,-15.67,-21.05,0.04861,113,9,4,Funk / Soul---New Jack Swing,0.074,danceable,0.645,instrumental,0.199,0.276,0.317,0.248,364.8,D,minor,0.575,2897.2804,0.2952,session_log_02-26_08h-48m,,
11_fleetwood_mac_landslide.mp3,197.88,44100,2,-14.3,-16.65,0.112927,81,302,2,Pop---Ballad,0.108,not_danceable,0.976,voice,0.045,0.136,0.003,0.877,205.6,Bb,major,0.867,6981.9859,0.4647,session_log_02-26_08h-48m,,
12_james_taylor_youve_got_a_friend_2019_remaster.mp3,126.33,44100,2,-20.7,-22.58,0.059689,91,195,4,"Folk, World, & Country---Folk",0.223,not_danceable,0.998,voice,0.097,0.017,0.0,0.982,146.2,A,major,0.929,7130.0384,0.4616,session_log_02-26_08h-48m,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_coldplay_yellow.mp3,239.12,44100,2,-8.34,-11.25,0.245121,86,343,4,Rock---Indie Rock,0.547,not_danceable,0.885,voice,0.454,0.418,0.158,0.406,251.4,B,major,0.945,6826.5854,0.4527,session_log_02-27_10h-37m,,
